GEOID,STATEFP,COUNTYFP,d_amtrak,d_transit,d_regional_airport,d_national_airport,d_college,d_college_3,d_hospital,d_hospital_3,d_private_school,d_private_school_3,d_public_school,d_public_school_3
421257637002,42,125,30635.188981267605,25738.50925932753,29857.369195749434,51735.991512162815,5630.087322363104,14447.032529652852,13867.328269680327,21806.46148921219,6225.993295565822,7536.305745416189,2544.11353376308,2706.4078692528437
421010040023,42,101,4330.7857247092325,239.32678956440316,6911.789555926387,7929.821984554932,1951.4850748787176,2731.658632587302,367.47364924419065,1438.1809219854981,396.75789294645546,790.5120644591075,139.00941785963738,293.6737470275645
421330229201,42,133,26795.462299922885,45524.993452671435,18168.60268390865,33507.72116194611,3710.3258346961193,5984.113962197174,3425.431397192975,5316.375434203175,1004.3370899263363,2401.6792565976825,1183.5172903748107,1319.730567755234
420691019002,42,069,2079.9291882849784,82939.23670380606,40092.48336923923,8796.954870281179,2723.407865591479,2985.3362720363034,3478.417008233452,3857.2342027720288,1001.7428724694394,2678.426345598663,572.7497857161404,788.5762497667561
420893002012,42,089,39839.40542103773,53101.76566835429,9576.250447054314,39386.460977640156,17384.03144177251,21215.247619267044,21514.25436243453,27628.826625884394,2586.3306437060915,5017.177298571507,4421.636742683191,7261.648598828368
420034742022,42,003,15010.769066103718,3243.1847950859,13835.654852094762,20160.796735450607,7581.7316775074,10392.157814328371,2295.2240946659704,6909.820129414434,1180.431011212051,1737.3079620856063,583.4148262899301,1154.6737702389955
420034883001,42,003,12057.117836003306,9627.845535067137,3964.1365367135672,30413.176100054145,3977.133148594869,4523.05011008957,3776.7025564361643,4921.457819911574,825.2185618603696,1435.545692107969,1791.7724777321973,1960.908091890602
420099605004,42,009,54342.451323984635,65631.07138757313,23232.618850547726,73795.63060626316,49593.05021233185,50011.073019636155,15789.893656105776,24885.587263352125,15624.89659494501,18065.49425977038,4133.447954047991,8160.702803740788
420035512002,42,003,11185.259855509912,14751.987479585101,8332.28854786163,35545.58133817097,1026.5096799437188,6046.120063303897,1598.3331490976097,4280.014572146997,1534.0505046207809,2187.4303686831436,818.70263236574306,971.0547924262871
420035263012,42,003,5094.754837558191,23304.7687232362,21997.925674679584,34351.57894169567,3495.4513152603104,5687.8928855777385,5140.895078243285,5416.981101842101,4786.2010834513485,5225.533368451246,721.0605487420155,2205.7789877644886
420691118001,42,069,16234.022230958974,66735.33588209432,38211.63203616317,24353.784614165506,11080.604473999469,11968.62179300646,8604.659456010877,12124.59523893233,6151.5410883520235,8982.259273174172,6206.229616388148,6313.360671695428
420293041022,42,029,451.71289478507003,489.0987577390358,12957.122166737538,41453.052365142394,3092.77856046892,6794.050918089915,3041.0334390554626,5344.596403670743,909.3031269524905,1607.0769047944443,436.2348050565503,867.1580706661234
420599708001,42,059,38193.00637490448,18427.28226257842,19850.999476074896,63150.90852270894,18574.70254521484,18625.671574627246,17392.942899002977,17690.134027198277,12088.062578851552,14437.429047980322,2119.28078317814,4267.534022537756
420619512001,42,061,28168.529434468448,86234.85361905798,35154.768762091946,94343.79288875712,21440.451092959745,29862.22846463938,29299.66725954412,34035.46262668244,3082.7396765975213,11409.170351857047,1021.8357019670368,4053.8287245817373
420171039004,42,017,31296.416972271825,16968.721258787118,32811.85031054471,32939.34915535006,17958.853507466294,21217.04659182454,16999.515703913967,17351.732533020313,638.5222289888703,4447.352725247761,4531.132728826074,6242.6393318448345
421330238104,42,133,44456.652068756935,29105.71349171135,22238.4845693319,49474.94861743735,20256.266690948527,21574.105192830717,18682.968577736192,19980.20177641749,5136.096381252754,9307.901264417986,2262.7274927298445,2282.8450646755145
